id,heading,article_text,date,category,api_url,snippet,trove_url,from_newspaper,relevance_score,relevance
122902723,German [?],"  C   T  p  b  ie  pro  m  O  1-1  ib   t  1  tho  Dl  W  o  7.  ..  ti  IR  '  ,  L  ti  (  ll  ll  4.  of  L  1  r  t  ?u.  o  a  o  t  Do  you  permit  your  o  o\va  \ray  7'  Uir.  baaa  (pc  Uvoly)  :  '  Uo,  c!r.  3io  hao  It  Trltiicrat  ray  CMTiulijalcn.'",1902-09-06T00:00:00Z,Article,https://api.trove.nla.gov.au/v3/newspaper/122902723,The opinion [?] the merits of large sea[?] to be fairly divided. In say [?] are frequently [?],https://nla.gov.au/nla.news-article122902723?searchTerm=german+date%3A%5B1900-01-01T00%3A00%3A00Z+TO+1909-12-31T00%3A00%3A00Z%5D,Delegate Argus and Border Post (NSW : 1895 - 1906),150.85707092285156,very relevant
132392913,GERMAN.,"  GERMAN.   The  servant  of  a  Jewish  merchant  atSchlochan  disappeared  suddenly,  and  it  was  not  possible  to  discove  her  whereabouts.  A  it.  mi  in  of  f-ritua  murder  was  spread,  and  soon  a  mob  began  to  throw  stones  at  Jewish  houses,  when  the  police  fortunately  found  the  girl.  This  was  publicl  annou  .  .  ?  ?  ider  was  restored.",1902-06-06T00:00:00Z,Article,https://api.trove.nla.gov.au/v3/newspaper/132392913,"The servant of a Jewish merchant at Schlochan disappeared suddenly, and it was not possible to discover her whereabouts. A rem[?]ur of aritua murder was spread, and soon a mob began to",https://nla.gov.au/nla.news-article132392913?searchTerm=german+date%3A%5B1900-01-01T00%3A00%3A00Z+TO+1909-12-31T00%3A00%3A00Z%5D,"The Hebrew Standard of Australasia (Sydney, NSW : 1895 - 1953)",150.83419799804688,very relevant
183107673,GERMAN [?].,"  GKP.MaN  ■TT'ilLEl?.   .On  the  18th  instant  the  German   Friendly  Society.  of  Brisbane  completed  the  fiftieth  year*  of  its  life.  By  -way  of  celebrating  the  occasion,  a  jubilee  banquet  and*.concert  wasrheld  on  Saturday*  night;  in  the  Turn  Verein  Ilall.  Woolloongabba.  The  president  (Mr.  P.  HoCmann).  was  in  the  chair.  and  had  on  his  right  the  German  consul  (Dr.  E.  Hirsciueld)  and  Mrs.  Uirsclifckl.  ami'on  his  left  Mr.  F.  Monzcl   (president.  of  the  German  Turn  Vcrcin).  I  There  were  abdut  100  persons  present,  in-  I  eluding-the  following  representatives  of!  kindred  societies:.  Messrs.  E.  ""E.  Quintan  i  and  A.  Shearer  (president  and  secretory  j  of  the  B.A.K.S.).  W.  Howard  and  W.  1  Floyd  (president,  and  secretary  oi  the  Medical  Institute).  Mr.  F.  C-Walter,  who  lias'been*  for  42*  years  secretary  .of  .the  society,-and-Messrs..  .I^einhold,  Asmussew,  Hirthe,.  rtopp,.  0..  Wegener,  Polzin,  Best  mann,  Klingner.  G-awpc,  Bartn,  Riedel,  and  Egert,  'were  among*  the  company.",1907-07-26T00:00:00Z,Article,https://api.trove.nla.gov.au/v3/newspaper/183107673,"On the 18th instant the German Friendly Society of Brisbane completed the fiftieth year of its life. By way of celebrating the occasion, a jubilee banquet",https://nla.gov.au/nla.news-article183107673?searchTerm=german+date%3A%5B1900-01-01T00%3A00%3A00Z+TO+1909-12-31T00%3A00%3A00Z%5D,"The Week (Brisbane, Qld. : 1876 - 1934)",150.7629852294922,very relevant
197899973,GERMAN.,"  german.   .  The  German  papers  handed  in  at  this  examina  tion  do  not  call  for  any  special  comment.  The  questions  being  very  easy,  the  percentage  of  failures  was  consequently  low.  An  examination  conducted  exclusively  in  writing,  as  we  have  it  at  present,  however,  forms  hardly  n  test  of  the   practical  knowledge  of  a  living  languuge.  It  is  hoped  that  the  proposed  introduction  <?f  an  addi  tional  oral  examination  will  supply  this  want,,  and  help  to  bring  about  the  much  needed  reform  in  the  teaching  of  French  nnd  German  nt  our  schools,  by  .which  the  study  of  these  languages  should  become  mqrc  interesting  as  well  as  more  useful  to  tlie   scholar,  /.  I  .   WALTER  VON  DECHEND.",1903-02-07T00:00:00Z,Article,https://api.trove.nla.gov.au/v3/newspaper/197899973,"The German papers handed in at this examination do not call for any special comment. The questions being very easy, the percentage of failures was consequently low. An examination",https://nla.gov.au/nla.news-article197899973?searchTerm=german+date%3A%5B1900-01-01T00%3A00%3A00Z+TO+1909-12-31T00%3A00%3A00Z%5D,"The Age (Melbourne, Vic. : 1854 - 1954)",150.75177001953125,very relevant
252305621,GERMAN'S [?],"  GERMAN'S  HILL.   (From  Our  Own  Oorrcspoud-jut.)  ,.   The  annual  picnic  ond  sciel  in  ait  of  <lie-Church;of  Boglapd,  Oave  Oriek,  took  piece  on'.W^nesdAy  U«t  fet  Mr  WM  McCotch'on'e,  end-Wes  a  gtcet  ftiosess.  -  .The  ladies  upon  whom  the  orpenising  and  earrj-ing  out  of  *he  function  devolved  -.(Mofdemes  W.  MoOutcheon,   A.  MoO&icheon,  King.  K^gan,  Gill,  the  ""Misses  Ae'ill  and  (<i>))  are  to  be  commended  for  their  fff'irtp,  and  1  hive  no  hesitation  in.raying  tb«t  tbe  chu'eh  is  fortunate  in  hiviDg  such  euthusiaitio  adherents  when  en  undertaking  of  this  kind  ""is  necessary.  The  picDio  cummencad  about  3o'olock,  and  various  picrio  games  were  indulged  in  till  6  Luncheon  was  theo  -served  n  Mr  McCutohe.on's  large  shed,  whioh  was  pleaeirgly  decorated  for  the  occasion  with  flowers  and  evergreens.  After  an  hour  or  two  more  were  again  spent'  tbe  preen  the  merry-makers  repaired  to  the  dance-room,  where  (with  the  exception,  of  tbe  time  occupied  in  tnakiog.  a  midnight  attack  on  the  table)  the  remaining  portion  of  the  night  was  passed  in  that  most  popular  of  pastimes,  dancing.  About  2.30  a  heavy  dusts'toimstruok  tbe  hail,  yet  with  oil  its  fuiy  and  in  the  leee  of  the  danger  of  an  unroofed  building  the  dance  went  on  as  merrily  as  if  nothing  unusual,  was  occurring.  I  disoover  it  ttfee*  something  very  formidable  topbeok  tbe  urdoiir  of  tbe  Cave  Oreekites  onoe  theirmirid  is  made  up  for  ei  joyment,-  Among  1  he  ladies  present  wcrs  tbe  Misses  .Greening.  (2),.Coff-e  Rill;  Astill  (2)  ^German's  Hill;  Alter,  Oiange;  Gill  Gave  Oreek;  Cantrill  (3)  Gorennre;  Mo-  Donald  and  Astill,  Cnvn  Crenk;  BLd.  Mesriames  Gill,  King,  D  Press.  3  Press.  Eegan  (Oave  Oreek),  J  flersbaoh,  E.  'Gerebaoh,  J  Gerjbaeb  (^eru^n'a  HUi}*  *n<(sN«irtaB  .  '•4i  r  ""  „  •.  ""  The  net'  1  proceeds  of  tbe  evening  amounted  to  about  £9.  -  For  tbe  excellent  music  rendered  Messrs  K>gan,  Fret-p,  Mi'obell,  Beaver  and  Gerebaoh  are  to  bt  complimented.  The  success  i>f  the  whole  tiff  air  n>By  be  taken  as  an  tviJence  of  tbe  popularity  of  ihe  Bev.  Cbivers  in  ihe  country.  •  -",1902-11-17T00:00:00Z,Article,https://api.trove.nla.gov.au/v3/newspaper/252305621,"The annual picnic and [?] in ait of the-Church ; of Boglapd, Cave Crek, took place on'. Wednesday Ut fet Mr WM McCotch'on'e, end-Wes a great success.",https://nla.gov.au/nla.news-article252305621?searchTerm=german+date%3A%5B1900-01-01T00%3A00%3A00Z+TO+1909-12-31T00%3A00%3A00Z%5D,"Leader (Orange, NSW : 1899 - 1945)",150.69497680664062,very relevant
256624740,GERMAN [?],"  ?   tag  ror  jd»out  Tlfi6/W0  ^  emigrants  <>iae»e(l  -Honsbujg,  a>r'  t)earti  ^(jpfl  jm^ire  than,Jfl  iflOSii  O  Oerb^BLQ  veu^J^lfciHSDI^joauaJ^  Wtoroing  stnig^ants^wftsfrqrjng,  as  conlppned  'with  -1906,  the',  w  i»ordinary;infreaseiof  {17,1W  The.  .statistics  ..for'  Bremen  Show.  •  an  exodus*  of  234,000  ^>ersoHB,  including  17,130  subjects  of  ,  ,lthe  Ganttan  Empire.  The  incroaJBe  oyer^the  previous  j>ear  was  .25,67P,  •  '  The  death  occurred  in  America  recently  of  J.  W.  Bog^rs,  a  oated  twitter,  who,'for  the  post  .seven  years,  had,  cWrge  of  Mr.  Harry.Payne  -Whitney's  racehorses.  As  Rogers  died  worth  £70,000,  it  is  almost  vnneaessary'  to  remark  that  there  is)a  lot  more  money  !  in  horse-training  in  America  than  in]  Australia.  ]",1908-05-02T00:00:00Z,Article,https://api.trove.nla.gov.au/v3/newspaper/256624740,"The Commissioner for Emigration [?] presented to the German Reichstag figures showing that during the year 1907 about 156,000 emigrants",https://nla.gov.au/nla.news-article256624740?searchTerm=german+date%3A%5B1900-01-01T00%3A00%3A00Z+TO+1909-12-31T00%3A00%3A00Z%5D,"The Evening Mail (Fremantle, WA : 1905 - 1910)",150.6787109375,very relevant
76671421,GERMAN[?],"  GKK.M.W   The  *'  North  Goi   organ  lined  for  the  <  official  views)  consi<  claim  to  universal  s  to  be  indofensibl*  hegemony  formerly  <-l   or  other  of  the  Contii   The  Berlin  ""  N«iesl  aiders  Great  Britain'  command  ;tll  the  seas  Germany  in  her  nar.-i  consider.",1904-12-17T00:00:00Z,Article,https://api.trove.nla.gov.au/v3/newspaper/76671421,"The "" North Ger organ used for the [?] official views) consi[?] claim to universal [?]",https://nla.gov.au/nla.news-article76671421?searchTerm=german+date%3A%5B1900-01-01T00%3A00%3A00Z+TO+1909-12-31T00%3A00%3A00Z%5D,"The Charleville Times (Brisbane, Qld. : 1896 - 1954)",150.64906311035156,very relevant
10325947,GERMAN.,"  The  answers  of  the  only  honour  candidate,  No  429,  are  excellent  The  work  of  the  miss  candidates,  of  whom  there  were  only  22,  shows  no  improvement  on  that  of  former  examinations  Even  the  successful  ones  obtained    only  very  little  more  than  the  minimum    number  of  marks  for  a  pass,  and  none  of  the  papers  deserve  any  special  mention.   I  .  WALTER.  A'rON  DECKEND.",1904-06-23T00:00:00Z,Article,https://api.trove.nla.gov.au/v3/newspaper/10325947,"The answers of the only honour candidate, No. 329, are excellent. The work of the pass candidates, of whom there were only 22, shows no improvement on that of former",https://nla.gov.au/nla.news-article10325947?searchTerm=german+date%3A%5B1900-01-01T00%3A00%3A00Z+TO+1909-12-31T00%3A00%3A00Z%5D,"The Argus (Melbourne, Vic. : 1848 - 1957)",150.42889404296875,very relevant
10592568,GERMAN.,"  aiRiivN   There  is  no  improvement  noticeable  in  the  papers    of  the  candidates  in  German  at  their  ex-  I  infant  son  compared  with  former  one.-..  A  few  of  the  honour  cituUditcA  -show  that  they  possess   A  |  tactical  knowledge  of  the  language,  but  met    I  of  them  and  nearly  de  pass  candidates-  with  three  '  exceptions  will  hardly  derive  any  benefit  in  ifU"".  life,  from  the  time  they  have  bestowed  on  acquire  I  sing  a  superficial  knowledge.  of  human  gi  banana  total     rates for  there  is  little  nuance  of  anything;  more  in  their  answers  especially  their  tocabil  tary  of  German  words  is  extremely  lated the  names  of  the  most  ordinary  objects  are  unknown  to  them-a  most  serious  defect  what    late    letters  should  try  to  remedy  if  they  wish  their  pupils  to   be  successful  in  future   the  higher  percentage  of  failures  on  this  occasion     as  due  to  the  act  animation  of  the  (industry   not  to  let  any  candidate  pass  whose-?  work  does  not  come  up  to  the  very  low  standard  in  each  section  of  the  paper   XI  XON  mciUND",1904-01-13T00:00:00Z,Article,https://api.trove.nla.gov.au/v3/newspaper/10592568,There is no improvement noticeable in the papers of the candidates in German at their examination compared with former ones. A few of the honour candidates show that they possess,https://nla.gov.au/nla.news-article10592568?searchTerm=german+date%3A%5B1900-01-01T00%3A00%3A00Z+TO+1909-12-31T00%3A00%3A00Z%5D,"The Argus (Melbourne, Vic. : 1848 - 1957)",150.42889404296875,very relevant
10528802,GERMAN.,"  GERMAN.   Notwithstanding  the  low  percentage  of  failures,  of  the  candidates  in  German,  the  knowledge  displayed  in  this  subject  can  hardly  be  (considered  as  satisfactory.  Of   the  successful  candidates  Very    fcYV  show  a  knowledge  of  the  language  NYInch  makes  us  assume  an  ability  on  their    part  of  nine  ing  in)  further  use  of  it  whether  for  reading  the  masterpieces  of  the  foreign  literature  or  the  latest  technical  or  scientific  YYorka  01  for  YYtitin.  OYcn  a  simple  business  letter  01  for  finding  their  way  about  it  they  had  to  go  by  themselves    to  Germany  Bet  ter  results  would  be  obtained  if  teachers  would  consider  is  their  first  and  chief  aim  to  enable  their  pupils  as  soon  as  possible  to  reid  connected  teNts stones,  plays,  and  descriptions-in  the  foreign  idiom,  which  can  be  done  almost  from  the  outset,  pro  Y  ideil  a  suitable  primer  like-for  German  the  excellent  one  by  O  Siepmamn  is  used,  and  to  treat  grammar  rather  as  a  commentary    on  the  reading  matter  than  as  an  object    in  itself,  until  their  pupils  have  tend    themselves  into  the  language  '  VEHICLE  n  more  exhaustiY  c  and  systematic  study  of  it  YYIII  become  both  attractive  and  profitable   I  W.  H/WALTER.  I",1901-01-08T00:00:00Z,Article,https://api.trove.nla.gov.au/v3/newspaper/10528802,"Notwithstanding the low percentage of failures, of the candidates in German, the knowledge displayed in this subject can hardlv be considered as satisfactory. Of",https://nla.gov.au/nla.news-article10528802?searchTerm=german+date%3A%5B1900-01-01T00%3A00%3A00Z+TO+1909-12-31T00%3A00%3A00Z%5D,"The Argus (Melbourne, Vic. : 1848 - 1957)",150.38587951660156,very relevant
